orgorder	strucperf	arrnum	countryname	arrtype	approvaldate	initialenddate	actualenddate	boardactdate	dqpccode	dqpc	dqpcnote	testdate	revstatus	comments	units	programamt	actualamt	programtype	reviewtype
P010800573	performance	583	cape verde	PSI	31.07.2006	30.07.2009		21.12.2007	107	No New arrears/default(continuous injunction)		09.30.2006	M	Met for P1R1.	NCU (billions)	0	0	P1	R3
P010800574	performance	583	cape verde	PSI	31.07.2006	30.07.2009		21.12.2007	107	No New arrears/default(continuous injunction)		12.31.2006	M	Met for P1R2.	NCU (billions)	0	0	P1	R3
P010800575	performance	583	cape verde	PSI	31.07.2006	30.07.2009		21.12.2007	107	No New arrears/default(continuous injunction)		06.30.2007	M	Met for P1R3.	NCU(billions)	0	0	P1	R3
P010800576	performance	583	cape verde	PSI	31.07.2006	30.07.2009		21.12.2007	149	Domestic Arrears		09.30.2006	W	Waived for P1R1. Includes accumulation of arrears to Electra only.	NCU (billions)	0	0.1	P1	R3
P010800577	performance	583	cape verde	PSI	31.07.2006	30.07.2009		21.12.2007	149	Domestic Arrears		12.31.2006	W	Waived for P1R2. Includes accumulation of arrears to Electra only.	NCU (billions)	0	0.1	P1	R3
P010800578	performance	583	cape verde	PSI	31.07.2006	30.07.2009		21.12.2007	149	Domestic Arrears		06.30.2007	M		NCU (billions)	0	0	P1	R3
P010800579	performance	583	cape verde	PSI	31.07.2006	30.07.2009		21.12.2007	149	Domestic Arrears		12.31.2007	AC		NCU (billions)	0		P1	R3
P010800580	performance	583	cape verde	PSI	31.07.2006	30.07.2009		21.12.2007	149	Domestic Arrears		06.30.2008	AC		NCU (billions)	0		P1	R3
P010800581	performance	575	central african republic	PRGF	22.12.2006	21.12.2009		28.09.2007	16	Credit to Government/public sector		06.30.2007	W	At P1R1, the envisaged (net) repayment by the government to the commercial banking system did not materialize and instead further borrowing occued through end-June 2007.	NCU (billions)	-2	0.6	P1	R1
P010800582	performance	575	central african republic	PRGF	22.12.2006	21.12.2009		28.09.2007	16	Credit to Government/public sector		12.31.2007	PC		NCU (billions)	-4.4		P1	R1
P010800583	performance	575	central african republic	PRGF	22.12.2006	21.12.2009		28.09.2007	47	Medium /Long Term External Debt		Continuous	PC	New nonconcessional external debt includes both short and medium- and long-term external debt.	NCU (billions)	0		P1	R1
P010800584	performance	575	central african republic	PRGF	22.12.2006	21.12.2009		28.09.2007	47	Medium /Long Term External Debt		03.31.2007	M	Met for P1R1.	NCU (billions)	0	0	P1	R1
P010800585	performance	575	central african republic	PRGF	22.12.2006	21.12.2009		28.09.2007	107	No New arrears/default(continuous injunction)		Continuous	PC		NCU (billions)	0		P1	R1
P010800586	performance	575	central african republic	PRGF	22.12.2006	21.12.2009		28.09.2007	107	No New arrears/default(continuous injunction)		06.30.2007	M	Met for P1R1.	NCU (billions)	0	0	P1	R1
P010800587	performance	575	central african republic	PRGF	22.12.2006	21.12.2009		28.09.2007	135	Fiscal deficit		06.30.2007	W	Floor on domestic primary balance. At P1R1, due to the recapitalization of the commercial bank being recorded as a trasfer in the budget, this transaction led to a slightly lower domestic primary surplus than programmed.	NCU (billions)	4.7	5.5	P1	R1
P010800588	performance	575	central african republic	PRGF	22.12.2006	21.12.2009		28.09.2007	135	Fiscal deficit		12.31.2007	PC		NCU (billions)	8.7		P1	R1
P010800589	performance	575	central african republic	PRGF	22.12.2006	21.12.2009		28.09.2007	149	Domestic Arrears		06.30.2007	M		NCU (billions)	0	0	P1	R1
P010800590	performance	575	central african republic	PRGF	22.12.2006	21.12.2009		28.09.2007	149	Domestic Arrears		12.31.2007	PC		NCU (billions)	0		P1	R1
P010800591	performance	575	central african republic	PRGF	22.12.2006	21.12.2009		28.09.2007	7.1	Revenues	Floor on total government revenue	06.30.2007	M		NCU (billions)	42.1	44.1	P1	R1
P010800592	performance	575	central african republic	PRGF	22.12.2006	21.12.2009		28.09.2007	7.1	Revenues	Floor on total government revenue	12.31.2007	PC		NCU (billions)	81		P1	R1
P010800593	performance	553	chad	PRGF	16.02.2005	15.02.2008		16.02.2005	47	Medium /Long Term External Debt		Continuous	PC		US$ (billions)	0		P1	R0
P010800594	performance	553	chad	PRGF	16.02.2005	15.02.2008		16.02.2005	84	Short term Debt		Continuous	PC		US$ (billions)	0		P1	R0
P010800595	performance	553	chad	PRGF	16.02.2005	15.02.2008		16.02.2005	107	No New arrears/default(continuous injunction)		Continuous	PC	Non accumulation of external payment arrears of the central government, excluding external arrears incurred pending debt rescheduling	US$ (billions)	0		P1	R0
P010800596	performance	553	chad	PRGF	16.02.2005	15.02.2008		16.02.2005	135	Fiscal deficit		06.30.2005	PC	Floor on primary fiscal balance, excluding oil revenues	NC (billions)	-44.4		P1	R0
P010800597	performance	553	chad	PRGF	16.02.2005	15.02.2008		16.02.2005	135	Fiscal deficit		12.31.2005	PC	Floor on primary fiscal base balance, excluding oil revenue	NC (billions)	-97.7		P1	R0
P010800598	performance	553	chad	PRGF	16.02.2005	15.02.2008		16.02.2005	149	Domestic Arrears		06.30.2005	PC	Stock of restructured domestic debt	NC (billions)	112.1		P1	R0
P010800599	performance	553	chad	PRGF	16.02.2005	15.02.2008		16.02.2005	149	Domestic Arrears		12.31.2005	PC	Stock of restructured domestic debt	NC (billions)	101.3		P1	R0
P010800600	performance	503	colombia	SBA	15.01.2003	14.01.2005	02.05.2005	29.04.2005	32	BOP/Reserve Test		12.31.2002	M		US$ (billions)	10.3	10.51	P1	R4
P010800601	performance	503	colombia	SBA	15.01.2003	14.01.2005	02.05.2005	29.04.2005	32	BOP/Reserve Test		03.31.2003	M	The target for March 2003 was adjusted by US$144.6 million to account for the effect of foreign exchange intervention.	US$ (billions)	10.36	10.32	P1	R4
P010800602	performance	503	colombia	SBA	15.01.2003	14.01.2005	02.05.2005	29.04.2005	32	BOP/Reserve Test		06.30.2003	M		US$ (billions)	10.42	10.21	P1	R4
P010800603	performance	503	colombia	SBA	15.01.2003	14.01.2005	02.05.2005	29.04.2005	32	BOP/Reserve Test		09.30.2003	M		US$ (billions)	10.48	10.33	P1	R4
P010800604	performance	503	colombia	SBA	15.01.2003	14.01.2005	02.05.2005	29.04.2005	32	BOP/Reserve Test		12.31.2003	M		US$ (billions)	10.54	10.524	P1	R4
P010800605	performance	503	colombia	SBA	15.01.2003	14.01.2005	02.05.2005	29.04.2005	32	BOP/Reserve Test		03.31.2004	M		US$ (billions)	10.24	11.019	P1	R4
P010800606	performance	503	colombia	SBA	15.01.2003	14.01.2005	02.05.2005	29.04.2005	32	BOP/Reserve Test		06.30.2004	M		US$ (billions)	10.3	11.379	P1	R4
P010800607	performance	503	colombia	SBA	15.01.2003	14.01.2005	02.05.2005	29.04.2005	32	BOP/Reserve Test		09.30.2004	M		US$ (billions)	10.4	11.929	P1	R4
P010800608	performance	503	colombia	SBA	15.01.2003	14.01.2005	02.05.2005	29.04.2005	32	BOP/Reserve Test		12.31.2004	M		US$ (billions)	10.54	13.197	P1	R4
P010800609	performance	503	colombia	SBA	15.01.2003	14.01.2005	02.05.2005	29.04.2005	47	Medium /Long Term External Debt		12.31.2002	M		US$ (billions)	1.1	0.27	P1	R4
P010800610	performance	503	colombia	SBA	15.01.2003	14.01.2005	02.05.2005	29.04.2005	47	Medium /Long Term External Debt		03.31.2003	M		US$ (billions)	0.65	0.2	P1	R4
P010800611	performance	503	colombia	SBA	15.01.2003	14.01.2005	02.05.2005	29.04.2005	47	Medium /Long Term External Debt		06.30.2003	M		US$ (billions)	1.25	0.27	P1	R4
P010800612	performance	503	colombia	SBA	15.01.2003	14.01.2005	02.05.2005	29.04.2005	47	Medium /Long Term External Debt		09.30.2003	M		US$ (billions)	1.85	0.82	P1	R4
P010800613	performance	503	colombia	SBA	15.01.2003	14.01.2005	02.05.2005	29.04.2005	47	Medium /Long Term External Debt		12.31.2003	M		US$ (billions)	1.85	0.716	P1	R4
P010800614	performance	503	colombia	SBA	15.01.2003	14.01.2005	02.05.2005	29.04.2005	47	Medium /Long Term External Debt		03.31.2004	M		US$ (billions)	0.8	0.026	P1	R4
P010800615	performance	503	colombia	SBA	15.01.2003	14.01.2005	02.05.2005	29.04.2005	47	Medium /Long Term External Debt		06.30.2004	M		US$ (billions)	1.3	-0.237	P1	R4
P010800616	performance	503	colombia	SBA	15.01.2003	14.01.2005	02.05.2005	29.04.2005	47	Medium /Long Term External Debt		09.30.2004	M		US$ (billions)	1.75	-0.735	P1	R4
P010800617	performance	503	colombia	SBA	15.01.2003	14.01.2005	02.05.2005	29.04.2005	47	Medium /Long Term External Debt		12.31.2004	M		US$ (billions)	1.8	-0.289	P1	R4
P010800618	performance	503	colombia	SBA	15.01.2003	14.01.2005	02.05.2005	29.04.2005	84	Short term Debt		12.31.2002	M		US$ (billions)	0.38	0.2	P1	R4
P010800619	performance	503	colombia	SBA	15.01.2003	14.01.2005	02.05.2005	29.04.2005	84	Short term Debt		03.31.2003	M		US$ (billions)	0.3	0	P1	R4
P010800620	performance	503	colombia	SBA	15.01.2003	14.01.2005	02.05.2005	29.04.2005	84	Short term Debt		06.30.2003	M		US$ (billions)	0.2	-0.21	P1	R4
P010800621	performance	503	colombia	SBA	15.01.2003	14.01.2005	02.05.2005	29.04.2005	84	Short term Debt		09.30.2003	M		US$ (billions)	0.2	-0.13	P1	R4
P010800622	performance	503	colombia	SBA	15.01.2003	14.01.2005	02.05.2005	29.04.2005	84	Short term Debt		12.31.2003	M		US$ (billions)	0.1	-0.274	P1	R4
P010800623	performance	503	colombia	SBA	15.01.2003	14.01.2005	02.05.2005	29.04.2005	84	Short term Debt		03.31.2004	M		US$ (billions)	0.2	-0.081	P1	R4
P010800624	performance	503	colombia	SBA	15.01.2003	14.01.2005	02.05.2005	29.04.2005	84	Short term Debt		06.30.2004	M		US$ (billions)	0.2	-0.065	P1	R4
P010800625	performance	503	colombia	SBA	15.01.2003	14.01.2005	02.05.2005	29.04.2005	84	Short term Debt		09.30.2004	M		US$ (billions)	0.2	0.102	P1	R4
P010800626	performance	503	colombia	SBA	15.01.2003	14.01.2005	02.05.2005	29.04.2005	84	Short term Debt		12.31.2004	M		US$ (billions)	0.2	0.167	P1	R4
P010800627	performance	503	colombia	SBA	15.01.2003	14.01.2005	02.05.2005	29.04.2005	135	Fiscal deficit		12.31.2002	M		NC (billions)	-8350	-7371	P1	R4
P010800628	performance	503	colombia	SBA	15.01.2003	14.01.2005	02.05.2005	29.04.2005	135	Fiscal deficit		03.31.2003	M		NC (billions)	-1590	-1209	P1	R4
P010800629	performance	503	colombia	SBA	15.01.2003	14.01.2005	02.05.2005	29.04.2005	135	Fiscal deficit		06.30.2003	M		NC (billions)	-3240	-1900	P1	R4
P010800630	performance	503	colombia	SBA	15.01.2003	14.01.2005	02.05.2005	29.04.2005	135	Fiscal deficit		09.30.2003	M		NC (billions)	-3315	-3245	P1	R4
P010800631	performance	503	colombia	SBA	15.01.2003	14.01.2005	02.05.2005	29.04.2005	135	Fiscal deficit		12.31.2003	M		NC (billions)	-6375	-6225	P1	R4
P010800632	performance	503	colombia	SBA	15.01.2003	14.01.2005	02.05.2005	29.04.2005	135	Fiscal deficit		03.31.2004	M		NC (billions)	-1200	-956	P1	R4
P010800633	performance	503	colombia	SBA	15.01.2003	14.01.2005	02.05.2005	29.04.2005	135	Fiscal deficit		06.30.2004	M		NC (billions)	-1650	-64	P1	R4
P010800634	performance	503	colombia	SBA	15.01.2003	14.01.2005	02.05.2005	29.04.2005	135	Fiscal deficit		09.30.2004	M		NC (billions)	-1850	1713	P1	R4
P010800635	performance	503	colombia	SBA	15.01.2003	14.01.2005	02.05.2005	29.04.2005	135	Fiscal deficit		12.31.2004	M		NC (billions)	-6100	-3447	P1	R4
P010800636	performance	555	colombia	SBA	29.04.2005	28.10.2006		30.10.2006	32	BOP/Reserve Test		06.30.2005	M		US$ (billions)	12.215	13.56	P1	R3
P010800637	performance	555	colombia	SBA	29.04.2005	28.10.2006		30.10.2006	32	BOP/Reserve Test		09.30.2005	M		US$ (billions)	12.215	14.881	P1	R3
P010800638	performance	555	colombia	SBA	29.04.2005	28.10.2006		30.10.2006	32	BOP/Reserve Test		12.31.2005	M		US$ (billions)	12.215	14.721	P1	R3
P010800639	performance	555	colombia	SBA	29.04.2005	28.10.2006		30.10.2006	32	BOP/Reserve Test		06.30.2006	M		US$(billions)	12.215	14.12	P1	R3
P010800640	performance	555	colombia	SBA	29.04.2005	28.10.2006		30.10.2006	84	Short term Debt		06.30.2005	M		US$ (billions)	0.2	-0.162	P1	R3
P010800641	performance	555	colombia	SBA	29.04.2005	28.10.2006		30.10.2006	84	Short term Debt		09.30.2005	M		US$ (billions)	0.2	-0.109	P1	R3
P010800642	performance	555	colombia	SBA	29.04.2005	28.10.2006		30.10.2006	84	Short term Debt		12.31.2005	M		US$ (billions)	0.2	-0.092	P1	R3
P010800643	performance	555	colombia	SBA	29.04.2005	28.10.2006		30.10.2006	84	Short term Debt		06.30.2006	M		US$(billions)	0.1	-0.069	P1	R3
P010800644	performance	555	colombia	SBA	29.04.2005	28.10.2006		30.10.2006	135	Fiscal deficit		06.30.2005	M	At P1R1, the Board approved a modification of performance criteria in order to lower the combined public sector deficit target. The performance criterion for June 2005 was adjusted downward by Col$121 billion in accordance with the adjustor explained in EBS/05/138 TMU. At P1R2, the 2244 actual amount was corrected to 1959.	NC (billions)	-1514	1959	P1	R3
P010800645	performance	555	colombia	SBA	29.04.2005	28.10.2006		30.10.2006	135	Fiscal deficit		09.30.2005	M		NC (billions)	-3403	2651	P1	R3
P010800646	performance	555	colombia	SBA	29.04.2005	28.10.2006		30.10.2006	135	Fiscal deficit		12.31.2005	M		NC (billions)	-6890	-24	P1	R3
P010800647	performance	555	colombia	SBA	29.04.2005	28.10.2006		30.10.2006	135	Fiscal deficit		06.30.2006	M		NC (billions)	-1383	659	P1	R3
P010800648	performance	550	congo, republic of	PRGF	07.12.2004	06.12.2007	30.06.2008	14.07.2006	16	Credit to Government/public sector		03.31.2005	M		NC (billions)	1.8	-24.4	P1	R2
P010800649	performance	550	congo, republic of	PRGF	07.12.2004	06.12.2007	30.06.2008	14.07.2006	16	Credit to Government/public sector		09.30.2005	M		NC (billions)	4	-34.3	P1	R2
P010800650	performance	550	congo, republic of	PRGF	07.12.2004	06.12.2007	30.06.2008	14.07.2006	16	Credit to Government/public sector		06.30.2006	PC		NC(billions)	-86.5		P1	R2
P010800651	performance	550	congo, republic of	PRGF	07.12.2004	06.12.2007	30.06.2008	14.07.2006	16	Credit to Government/public sector		12.31.2006	PC		NC(billions)	-362.5		P1	R2
P010800652	performance	550	congo, republic of	PRGF	07.12.2004	06.12.2007	30.06.2008	14.07.2006	47	Medium /Long Term External Debt		03.31.2005	M	Met for P1R1	US$ (billions)	0	0	P1	R2
P010800653	performance	550	congo, republic of	PRGF	07.12.2004	06.12.2007	30.06.2008	14.07.2006	47	Medium /Long Term External Debt		06.30.2006	W		US$ (billions)	0	0.031	P1	R2
P010800654	performance	550	congo, republic of	PRGF	07.12.2004	06.12.2007	30.06.2008	14.07.2006	47	Medium /Long Term External Debt		12.31.2006	PC		US$(billions)	0		P1	R2
P010800655	performance	550	congo, republic of	PRGF	07.12.2004	06.12.2007	30.06.2008	14.07.2006	47	Medium /Long Term External Debt		09.30.2005	M		US$(billions)	0	0	P1	R2
P010800656	performance	550	congo, republic of	PRGF	07.12.2004	06.12.2007	30.06.2008	14.07.2006	84	Short term Debt		03.31.2005	M	Met for P1R1	US$ (billions)	0	0	P1	R2
P010800657	performance	550	congo, republic of	PRGF	07.12.2004	06.12.2007	30.06.2008	14.07.2006	84	Short term Debt		06.30.2006	M		US$ (billions)	0	0	P1	R2
P010800658	performance	550	congo, republic of	PRGF	07.12.2004	06.12.2007	30.06.2008	14.07.2006	84	Short term Debt		12.31.2006	PC		US$(billions)	0		P1	R2
P010800659	performance	550	congo, republic of	PRGF	07.12.2004	06.12.2007	30.06.2008	14.07.2006	84	Short term Debt		09.30.2005	M		US$(billions)	0	0	P1	R2
P010800660	performance	550	congo, republic of	PRGF	07.12.2004	06.12.2007	30.06.2008	14.07.2006	107	No New arrears/default(continuous injunction)		03.31.2005	M	Met for P1R1.	NC(billions)	0	0	P1	R2
P010800661	performance	550	congo, republic of	PRGF	07.12.2004	06.12.2007	30.06.2008	14.07.2006	107	No New arrears/default(continuous injunction)		Continuous	PC		NC(billions)	0		P1	R2
P010800662	performance	550	congo, republic of	PRGF	07.12.2004	06.12.2007	30.06.2008	14.07.2006	107	No New arrears/default(continuous injunction)		09.30.2005	M	Met for P1R2.	NC(billions)	0	0	P1	R2
P010800663	performance	550	congo, republic of	PRGF	07.12.2004	06.12.2007	30.06.2008	14.07.2006	135	Fiscal deficit		03.31.2005	M		NC (billions)	98.8	96.1	P1	R2
P010800664	performance	550	congo, republic of	PRGF	07.12.2004	06.12.2007	30.06.2008	14.07.2006	135	Fiscal deficit		09.30.2005	W		NC (billions)	230.4	312.7	P1	R2
P010800665	performance	550	congo, republic of	PRGF	07.12.2004	06.12.2007	30.06.2008	14.07.2006	135	Fiscal deficit		06.30.2006	PC	Fiscal outturn data are not available as yet. 	NC(billions)	262.3		P1	R2
P010800666	performance	550	congo, republic of	PRGF	07.12.2004	06.12.2007	30.06.2008	14.07.2006	135	Fiscal deficit		12.31.2006	PC		NC(billions)	686.8		P1	R2
P010800667	performance	550	congo, republic of	PRGF	07.12.2004	06.12.2007	30.06.2008	14.07.2006	149	Domestic Arrears		09.30.2005	M		NC (billions)	34.8	24.8	P1	R2
P010800668	performance	550	congo, republic of	PRGF	07.12.2004	06.12.2007	30.06.2008	14.07.2006	149	Domestic Arrears		03.31.2005	M		NC (billions)	8	7.3	P1	R2
P010800669	performance	550	congo, republic of	PRGF	07.12.2004	06.12.2007	30.06.2008	14.07.2006	149	Domestic Arrears		06.30.2006	PC		NC(billions)	43.5		P1	R2
P010800670	performance	550	congo, republic of	PRGF	07.12.2004	06.12.2007	30.06.2008	14.07.2006	149	Domestic Arrears		12.31.2006	PC		NC(billions)	87		P1	R2
P010800671	performance	550	congo, republic of	PRGF	07.12.2004	06.12.2007	30.06.2008	14.07.2006	7.2	Expenditures	External arrears payment (floor)	03.31.2005	W		NC (billions)	60.2	44.4	P1	R2
P010800672	performance	550	congo, republic of	PRGF	07.12.2004	06.12.2007	30.06.2008	14.07.2006	7.2	Expenditures	New nonconcessional external debt contacted by SNPC (ceiling)	Continuous	PC		NC(billions)	0		P1	R2
P010800673	performance	550	congo, republic of	PRGF	07.12.2004	06.12.2007	30.06.2008	14.07.2006	7.2	Expenditures	New domestic arrears	03.31.2005	M		NC (billions)	0	0	P1	R2
P010800674	performance	550	congo, republic of	PRGF	07.12.2004	06.12.2007	30.06.2008	14.07.2006	7.2	Expenditures	 New oil-collateralized external debt contracted by or on behalf of the central government (ceiling) 	03.31.2005	M		NC (billions)	0	0	P1	R2
P010800675	performance	550	congo, republic of	PRGF	07.12.2004	06.12.2007	30.06.2008	14.07.2006	7.2	Expenditures	 New oil-collateralized external debt contracted by or on behalf of the central government (ceiling) 	09.30.2005	M		NC(billions)	0	0	P1	R2
P010800676	performance	550	congo, republic of	PRGF	07.12.2004	06.12.2007	30.06.2008	14.07.2006	7.2	Expenditures	New domestic arrears	Continuous	PC		NC (billions)	0		P1	R2
P010800677	performance	550	congo, republic of	PRGF	07.12.2004	06.12.2007	30.06.2008	14.07.2006	7.2	Expenditures	External arrears payment (floor)	06.30.2006	PC		NC(billions)	56.3		P1	R2
P010800678	performance	550	congo, republic of	PRGF	07.12.2004	06.12.2007	30.06.2008	14.07.2006	7.2	Expenditures	New nonconcessional external debt contacted by SNPC (ceiling)	03.31.2005	M		NC (billions)	13.5	0	P1	R2
P010800679	performance	550	congo, republic of	PRGF	07.12.2004	06.12.2007	30.06.2008	14.07.2006	7.2	Expenditures	 New oil-collateralized external debt contracted by or on behalf of the central government (ceiling) 	Continuous	PC		NC (billions)	0		P1	R2
P010800680	performance	550	congo, republic of	PRGF	07.12.2004	06.12.2007	30.06.2008	14.07.2006	7.2	Expenditures	New domestic arrears	09.30.2005	M		NC(billions)	0	0	P1	R2
P010800681	performance	550	congo, republic of	PRGF	07.12.2004	06.12.2007	30.06.2008	14.07.2006	7.2	Expenditures	External arrears payment (floor)	09.30.2005	W		NC (billions)	119.6	105	P1	R2
