"ISO3","Year","total_cond","rohstoff_cond","stabil_cond","sonstige_cond","avgcondtype_all","rohstoff_cond_share","stabil_cond_share","FuelExportPct","MineralExportPct","XDebtGNI","DebtServGNI","ResXDebt","unsc","unsc_t1","unsc3","resource_dep","Rohstoffabhängigkeit","region"
"GIN",2012,493,127,391,60,1.05070993914807,0.257606490872211,0.793103448275862,NA,NA,86.6743318322581,7.0934,56.9965890445029,0,0,0,NA,NA,"SSA"
"GIN",2017,238,57,142,55,0.836134453781513,0.239495798319328,0.596638655462185,NA,NA,101.251633768429,4.2348,41.0193050684563,0,0,0,NA,NA,"SSA"
"GMB",2002,8,0,7,1,0.875,0,0.875,0.00692766205053044,NA,59.642950918834,6.4175,18.3079552521825,0,0,0,NA,NA,"SSA"
"GMB",2007,361,1,312,49,0.867036011080332,0.00277008310249307,0.864265927977839,NA,0,44.2938444656791,3.1292,20.6687692848746,0,0,0,NA,NA,"SSA"
"GMB",2012,44,3,29,12,0.727272727272727,0.0681818181818182,0.659090909090909,0,0.45786601607713,47.7006731141985,3.9856,41.7700454165916,0,0,0,0.45786601607713,0.45786601607713,"SSA"
"GMB",2020,194,0,184,10,0.948453608247423,0,0.948453608247423,0,7.45944989729253,47.3955201736291,2.9954,40.1492854201049,0,0,0,7.45944989729253,7.45944989729253,"SSA"
"GMB",2024,192,14,125,53,0.723958333333333,0.0729166666666667,0.651041666666667,0,7.25401728860874,42.1706172080435,3.7471,38.2821078744936,0,0,0,7.25401728860874,7.25401728860874,"SSA"
"GNB",2010,84,4,73,8,0.916666666666667,0.0476190476190476,0.869047619047619,NA,NA,43.5145876385454,8.5425,NA,0,0,0,NA,NA,"SSA"
"GNB",2015,146,14,103,29,0.801369863013699,0.0958904109589041,0.705479452054795,0.00207808733428507,NA,54.3703755891285,7.0347,NA,0,0,0,NA,NA,"SSA"
"GNB",2023,513,39,371,134,0.799220272904483,0.0760233918128655,0.723196881091618,NA,NA,42.4351515242076,0.1102,NA,0,0,0,NA,NA,"SSA"
"GNQ",2019,13,4,9,2,1,0.307692307692308,0.692307692307692,NA,NA,94.8787924253545,NA,NA,1,1,1,NA,NA,"SSA"
"GRC",2010,172,28,115,43,0.831395348837209,0.162790697674419,0.668604651162791,26.0765746817089,8.28992249752207,50.9225181997227,NA,NA,0,0,0,34.366497179231,34.366497179231,"ECA"
"GRC",2012,336,10,188,144,0.589285714285714,0.0297619047619048,0.55952380952381,38.9473786760151,7.57301310927524,62.3942117351318,NA,NA,0,0,0,46.5203917852903,46.5203917852903,"ECA"
"GRD",2006,144,5,97,42,0.708333333333333,0.0347222222222222,0.673611111111111,0,0.080101458919477,NA,7.2554,22.08725714651,0,0,0,0.080101458919477,0.080101458919477,"LAC"
"GRD",2010,33,0,24,9,0.727272727272727,0,0.727272727272727,0,0.0118265832367857,NA,6.703,21.2552822808329,0,0,0,0.0118265832367857,0.0118265832367857,"LAC"
"GRD",2014,212,9,171,37,0.849056603773585,0.0424528301886792,0.806603773584906,0.194185696350986,0.0494167521988235,NA,12.3719,26.6186837729347,0,0,0,0.24360244854981,0.24360244854981,"LAC"
"GTM",2002,14,2,8,4,0.714285714285714,0.142857142857143,0.571428571428571,7.15402228818343,0.524514055435472,67.1048115244645,27.226,52.4245593320643,0,0,0,7.6785363436189,7.6785363436189,"LAC"
"GTM",2003,10,0,2,8,0.2,0,0.2,8.19705664111192,0.385124889688843,67.0023391862425,30.435,56.7120212913201,0,0,0,8.58218153080076,8.58218153080076,"LAC"
"GTM",2009,15,0,0,15,0,0,0,4.05012640218242,5.14889014336207,58.0406869738673,8.2701,35.1098383241386,0,0,0,9.19901654554449,9.19901654554449,"LAC"
"HND",2004,115,0,46,69,0.4,0,0.4,0.10107453163439,6.35794151098228,135.461758741854,6.8143,31.9030293553917,0,0,0,6.45901604261667,6.45901604261667,"LAC"
"HND",2008,6,1,4,1,0.833333333333333,0.166666666666667,0.666666666666667,NA,NA,135.748955193053,13.2359,70.851524567029,0,0,0,NA,NA,"LAC"
"HND",2010,39,9,21,12,0.769230769230769,0.230769230769231,0.538461538461538,8.0723038762939,6.01471210389409,109.441838241682,9.3373,67.4064711552552,0,0,0,14.087015980188,14.087015980188,"LAC"
"HND",2014,150,19,94,40,0.753333333333333,0.126666666666667,0.626666666666667,0.0260914911819797,3.88606656605623,112.97509728471,6.8287,46.8924350969364,0,0,0,3.91215805723821,3.91215805723821,"LAC"
"HND",2019,150,12,73,70,0.566666666666667,0.08,0.486666666666667,0.0140768372959928,2.70409749738022,99.4595352452417,7.9793,58.8811793892231,0,0,0,2.71817433467621,2.71817433467621,"LAC"
"HND",2023,112,3,54,56,0.508928571428571,0.0267857142857143,0.482142857142857,0.0650199693590328,3.40869496897492,98.7919798336365,11.5541,58.2768595437127,0,0,0,3.47371493833395,3.47371493833395,"LAC"
"HRV",2003,57,12,34,11,0.807017543859649,0.210526315789474,0.596491228070175,9.62307738195106,2.27026881473396,81.4423725005617,NA,NA,0,0,0,11.893346196685,11.893346196685,"ECA"
