"ISO3","year","unsc","unsc_t1","unsc3"
"ALB",1954,0,0,0
"DZA",1954,0,0,0
"AGO",1954,0,0,0
"ARG",1954,0,0,0
"AUS",1954,0,0,0
"AUT",1954,0,0,0
"AZE",1954,0,0,0
"BHR",1954,0,0,0
"BGD",1954,0,0,0
"BLR",1954,0,0,0
"BEL",1954,0,0,0
"BEN",1954,0,0,0
"BIH",1954,0,0,0
"BWA",1954,0,0,0
"BRA",1954,1,0,1
"BGR",1954,0,0,0
"BFA",1954,0,0,0
"BDI",1954,0,0,0
"CPV",1954,0,0,0
"CMR",1954,0,0,0
"CAN",1954,0,0,0
"TCD",1954,0,0,0
"CHL",1954,0,1,1
"CHN",1954,1,1,1
"COL",1954,1,1,1
"CRI",1954,0,0,0
"HRV",1954,0,0,0
"CUB",1954,0,0,0
"CZE",1954,0,0,0
"DNK",1954,1,1,1
"DJI",1954,0,0,0
"DOM",1954,0,0,0
"ECU",1954,0,0,0
"GNQ",1954,0,0,0
"EST",1954,0,0,0
"ETH",1954,0,0,0
"FIN",1954,0,0,0
"FRA",1954,1,1,1
"GAB",1954,0,0,0
"DEU",1954,0,0,0
"GHA",1954,0,0,0
"GRC",1954,0,1,1
"GTM",1954,0,0,0
"GIN",1954,0,0,0
"GNB",1954,0,0,0
"GUY",1954,0,0,0
"HND",1954,0,0,0
"HUN",1954,0,0,0
"IND",1954,0,0,0
"IDN",1954,0,0,0
"IRQ",1954,0,0,0
"IRL",1954,0,0,0
"ITA",1954,0,0,0
"JAM",1954,0,0,0
"JPN",1954,0,0,0
"JOR",1954,0,0,0
"KAZ",1954,0,0,0
"KEN",1954,0,0,0
"KWT",1954,0,0,0
"LVA",1954,0,0,0
